Stars,Title,Date,Review Body
1,This one did not charge.  After two hours of continuous charge still at 0%.,2021/5/12,"I watched many reviews about this Hulkman jump starter seemed a good buy, but this particular product sent to my home was a bust.  It maybe designed in the USA but still made in Communist China.  I may go with another product company later."
5,There is Great then there is this (Amazing)!!!,2021/5/21,"Read many reviews on this product and could not help but notice a excitement about how pleased so many people were. So I decided I would try this product as I had a real challenge for it. I have a second car which is a 2007 Lincoln MKZ with a large block 8 cyl. it has been setting for weeks and battery was not just down but dead, dead. Like death eating a doughnut dead. No lights, no ringing when key goes in ignition no power door locks, absolutely nothing. I took my Alpha 85 out of the box read the instructions. (Incredible Simple). It was on the 81% charged to 100% in 11 min. I plugged the cables to the A85 then turned power on and clamped to battery post. I immediately got the error light Which I expected knowing there was no power in that battery to be read by A85. I simply pushed both buttons down and held them for about 2 seconds and the force start mode kicked in instantly with green ready light. As I got in the car to start it I was hoping to see it turn the engine over expecting at minimum a strained starting at best and that would have made me happy. However to my disbelief, that engine turned over and cranked like it was coming of the show room floor with (ZERO) strain. It took my power from 100% to 92%.

If you are looking for the best at a great price point as I gave only $79 for Grab this baby. It has no competition as it is in a class of it's own. Everything about this product screams quality state of the art. (Well Done Hulkman)! I am buying 2 more tomorrow for my other 2 cars. Don't ever be caught again looking for heavy duty cables to jump a big 8 cyl engine with most people are driving 4 cly and don't want to try to jump you for fear of damaging their battery. This is I feel the most value from a purchase of any product I have made in a long time. As for not having it's on carrying case, true it doesn't but the box it came in works just fine for now, Good design. I will Happily buy myself a hard box as I can afford to spend $15 when you only pay $79 for the A85. Even if I gave $129 I would still be happy to get the hard carrying case separate. Oh well, Nuff said."
5,This thing is amazing,2021/5/31,"I had my 350z in storage for over 5 years with a battery that went dead long ago. I got this because I needed a jump starter that was easy to use and quick to jump start a vehicle. Well, I decided to connect it to the 350z and test it out to see if it worked. I was shocked to find out it started that dead battery within 10 mins of leaving this thing connected. I primarily purchased this for our LandCruiser so when we are out on the trails... and forget to turn something off... I have a backup. I trust it on the trails and a solid product. The price I paid compared to the other big brands out there... is truly amazing. I even dropped it from 4ft by accident and was worried that I broke it. Nope, it turned on and charged one of my other batteries that I had stored since new just fine. Honestly, great product all around."
3,No Joy on Dead Battery,2021/6/3,"UPDATE:  The seller read my review and provided a new device to use next time.  I increased the star rating to 3 stars.  My dead battery was at less than 3% battery, and my sister-in-law's battery was at 1%.  When the battery is that low the email I received said to put on ""force start"" mode by holding down the power and battery buttons at the same time.  I am hopeful the new device will help during the next battery out condition.  Oh, also the email from the seller said to put on the terminals on the battery only.  Usually I put the black on a ground somewhere on the car, and in some cars there are terminals under the hood while the battery is hidden elsewhere.  Also, this thing charges up fast--I wish my phone was this fast!  If the new one works on the next bad battery, my rating is likely to go up.I'm giving this product a 1 star review because it did not work when I needed it.  I have a car I don't drive often that requires the biggest battery available to turn over the big v8 engine.  I bought a new battery 6 months ago.  I start the car once a month and let it run for awhile.  Apparently that is not enough.  (The manual says that the car should be driven at least 200 miles/month.)  This month the battery was dead.  I bought this item to jump start it.  One of the questions answered was if it would start a car with no battery.  The answer was yes, but apparently when the battery is dead dead dead, this jumpstarter did not work.  The device showed 100% charge but after hooking it up to the battery, it just went to sleep and did not provide the READY bar.  I hooked it up to another car (that was working fine) and the READY bar lit up almost instantly.  I took the battery back to Autozone and the test showed it was only providing 6v not 12v.  Perhaps I'm off base and the jumpstarter's failure to detect anything is correct as there was a lack of continuity in the battery.  I should have used my multimeter to check out the battery myself first.  I did not return the product, but I will update this review when it works under actual conditions."
5,Hulkman,2021/6/9,"I got the Idea that I could also use a vehicle jumper pack as a DIY LED lantern battery...and it works great too. I research and found that this Hulkman is the best on the market right now..many cost a lot more, but from what I've research they are not necessarily better because they cost more. I cut the plug off of a 110v aluminum clamp stlye work light and wired it for 12v with Anderson powerpole connectors to replace a lantern.. no more split fuel, mantles, broken globes, smell or fire risk.  I use a 12v LED bulb. The LED bulb is equivalent to a 60W bulb, so it lights up an area very well and since the LED bulb draws very little amps, the Hulkman last 10+ hours ,I stopped timing it at 10 hours because that's enough to last a whole night if needed and it was at 500% battery life, so it had a lot of power left. It can be recharged by wall wart, 12v car cigarette lighter/solar and it recharges fast too..about 30 minutes. I ordered a 100watt 12v bulb and an inline dimmer switch, that should workout well. Of course the Jumper can charge all battery operated electronics..cellphones, laptops, flashlights..etc, and they can start your vehicle. Pretty nice thing to have on fishing and camping trip...or if SHTF!"
1,Did not work as advertised,2021/6/10,Item did not work followed instructions and called customer service they were no help perhaps item was defective when it arrived regardless I am returning for refund
1,After 32 days Stop working and can’t return Only used twice. Can’t get hold of Company 🥵,2021/6/14,Worked great one time. Only had 32 days and look at pictures it appears battery busted😡 I am a very good Amazon Cust and this is not good.
1,junk,2021/6/27,car was super dead  would not jump it off. hand to send it back and got a jump box 1224.. it is a monster. jump both of my dead cars off that set for a year!
5,"Great product design, great functionality...",2021/7/12,"These folks hit a home run with this product: built like tank, looks great, light weight, fantastic packaging, great jumper clips with enough wire to handle wide-format car batteries. Nice wall-bud fast-charger. Nice included extras (USB cable, 12v cable).

Super easy to use: works instantly to turn over big Mercedes & BMW 400+HP V8s. Very nice user interface (big clear easy to read LED, simple two button operation). Will start a large V8 engine with a near-dead or absolutely dead battery over 15 times on a single charge (uses about 5% per dead-battery start) and can do this over an elapsed period of several weeks or months without being recharged.

Re-charges very quickly (from 30% to 100% in a few minutes). If you have a 12V DC to AC inverter in your car/truck kit that can support a 150 watt draw, you can recharge this system from your car 12v outlet in the same super fast time as using a household 120V outlet - just plug the provided wall-bud charger into your inverter and you're ready to go. It will stay charged and ready to go for months on end when not used. It will work in very cold temperatures.

Overall: an A+ value. I have bought two, and several family members have purchased more after seeing/hearing about mine.

Suggestions for improvement: 1) The simple method for starting a totally dead battery is NOT CLEAR until you learn about it online via posts/videos from other users. This is a VERY VALUABLE feature and should be more clear via the MANUAL and the LED readout. For instance: if the car battery is DEAD, the LED screen instead of saying READY could say, ""ENTER DEAD BATTERY MODE? PRESS THE ON/OFF BUTTON TO CONTINUE"". BTW, the hidden/secret method is: if after being connected to a car battery, the LED does not say ""READY"", hold down both control buttons for a few seconds to enter dead battery mode (dead battery mode places additional load on the system, so the designers made it hard to access to prevent overheating) >> when entering Dead Battery Mode, the system could flash a warning: ""Dead Battery Mode should not be used more than 3x in 10 minutes (or something like that) to prevent heat damage to the cells."" 2) Make the rubber retainer for the jumper-cable-plug-cover a bit longer or more elastic so it stays out of the way while plugging in the jumper cables (would be nice to be able to do this one-handed!)."
1,Absolute crap. Buy something else.,2021/7/13,"Portable, yes. Effective, no.

This couldn’t charge a toothbrush."
2,Don’t get if you own a V8 engine with a big battery.,2021/7/19,"I’m giving it 2 stars because customer service was quick to reply when I was having issues. So great customer service. Anyways… I work for a company that has a fleet of Ford 15 passenger vans (V8 5.4 L). During the pandemic, the vans have been sitting for awhile and many of the vans had dead batteries. We have a current jumper box that works well but it’s bulky and it’s like carrying another heavy car battery around. That’s why we purchased this unit to make life easier since it’s portable. When I hooked the Hulkman up, to my surprise it jumped a van with big battery and V8 engine with no problem. But….. as soon as I unhooked the clamps, battery went dead and van shuts off. It’s unfortunate because I like this unit. It’s nice and it seems like good quality. I jumped multiple vans with a dead battery and had the same results. Finally reached out to customer service and they did not understand what was going on so they sent me a replacement. Once I received it, I tried again. Did the same thing with the 2nd unit. It jumped started but dies as soon as I unhook the clamps. I’ve even left the clamps on after start and it dies 15 secs later.

Conclusion: I haven’t tried it but may work well with a regular car battery. In my opinion, I wouldn’t get this if you plan on using it on a big vehicle with a V8 engine or bigger. You’ll end up with the same issues I went though and I tried it on 5 different Ford V8 vans."
5,Compact yet powerful.,2021/10/18,"I Used this this to jump start a completely dead battery on my mom’s 2001 Nissan Altima. She rarely uses her car nowadays. Since the last oil change of her car in January of this year until October of this year,  she drove a total of only 48 miles! The battery is less than a year old, but due to the lack of turning on the engine for weeks or months at a time, the battery completely drained to the point where the key remote did not open the doors, the car alarm did not sound when manually opening the door with the car key, nor were the headlights or interior lights working and when attempting to turn on the ignition, there was not even a clicking sound.  After reading the ratings and reviews, I decided to purchase the Hulkman Alpha 85 jump starter. I am extremely glad I did. I received it today, read the simple instructions, charged the jump starter using the included usb cable. Th Hulkman was ready to be used in about 5 minutes after charging it. When I connected the included jumper cables from the Hulkman to the car battery terminals, the screen on the Hulkman displayed error code 2, meaning the battery is completely dead. This required the use of a forced charge from the Hulkman. This is performed by pressing the on/off button and the LED control button simultaneously. This initiates a very quick charge into the battery. Immediately after initiating the forced charge, a split second later, the car alarm system sounded, indicating a charge into the battery. Immediately afterward, I turned on the ignition and the car came back to life! I disconnected the Hulkman from the battery and let the car run a while and drove it for about an hour to charge the battery. I started the car 6 hours later to test out the battery and it still works. The  Hulkman Alpha 85 truly works great. Simple to use, quick to charge and quickly jumps your car battery even when completely dead. Feels durable even though it is compact. I highly recommend this as a must have tool for your automotive needs. It"
1,Hoping this defective unit is covered under warranty,2021/12/13,"Purchased this unit 6 months ago. I fully charged it and stored it away in my trunk. Finally needed it today, got an error 2 message, and had to force start it. My battery pack has drained to 23% in six months. Luckily I was able to get the vehicle started but am unsure whether to charge back up or what. I'm afraid that it may not work the next time I need it or worse yet, explode or catch fire. I reached out to the number on the warranty card but no one answers. Hulkman, if you read this please reach out to me, I need some help."
2,Is this a scam? I can't get a hold of manufacturer.,2021/12/19,"So I bought this after seeing its review and comparing it to others like NOCO and another one. I eneded up with this one because of its safety features as well as cold weather durability.

Got it, it was delivered next day. Awesome, right? Well I get it and read the instructions most of which I had already seen in review videos but I did my due diligence as it is an investment over all. I found it comforting yet questionable that it had an additional warranty if you became a member and they provide a QR code for easy access, easy enough who wouldn't take 5 seconds for another year of warranty right? So I log in, it asks me for ID number which I have no idea where to get it from and there's no serial number on the device or packaging and I didn't receive an email so I try to just add a few things and nothing worked but I tried my email and it went through but honestly it shouldn't have because they didn't know it. Longer story short, I received an email confirming a request which is fine but THEN I received another email in some kind of Asian character/writing which totally reminded me or a scam popup but I ordered it from the HULKMAN STORE, ya know?

So I tried to contact them and have yet to hear from them AT ALL Y'ALL! I sent an email, I tried chatting, I tried calling all to no avail.

💥AS FAR AS THE PRODUCT REVIEW!!💥
Look, it looks beautiful but when I tested it the battery drained suspiciously fast, like 3 percent at a time and it didn't start the battery and so then I tried charging my phone and it drained the battery just as fast. Yes, I know about the starting a REALLY DEAD battery adjustment and yes I read the do's and don'ts and how to optimize it but I got nothing but doubt.

I made a big investment in this financially as well as for my safety and security and now I have a $200 brick so I'm disappointed and I hope that the manufacturer is real and that this is rectified and that I'm proven wrong in my doubt and trust in this product.

HULKMAN, PLEASE CONTACT ME."
,,,
1,Error Message,2021/6/5,Everything is good except when i plugged up cables to jump start  my car it only gave me a ERROR CODE and would not jump anything like its a defect. Im not goin through sending back with all that process headache. Ill just keep for emergency use to charge cellphone or laptop if lights go out from weather. Other then that it only met 50% of the deal purchase which is still BS to me.....
3,Won't jump start below freezing.,2022/1/9,"I've had mixed luck with these. Regarding this one: On the one hand, it's a great power bank. On the other hand, it's operating temperature according to the very poorly written instructions say that it won't operate below 0C (32f), which, of course, is the highest likelihood time one may need to jump start a vehicle.  Well, this morning it was 12f out and I needed to jump start the truck. Rather than pull the car around and do it, I thought, hey, time to give this a try. Of course it wouldn't do it. It wouldn't even provide the 12v I needed to run the air compressor to air up a tire. I'm rather tired of these not performing the way they are supposed to. It's not user error or poor expectations. I know how to jump start a vehicle and I know how these are supposed to work."
1,Just doesn’t work,2021/8/12,"First case of seeing amazing reviews and being completely off. I bought two of these, one fore each of my cars. Ironically I needed to jump both my cars within a month of purchase. I tried BOTH of them on both of my cars and it barely had enough power to get the electronics to respond in the car and no where near enough power to even try to turn over. Portability is great, easy directions, love that it has a light, BUT IT CANNOT START CARS."
5,Jumping a dead battery has never been more satisfying,2021/5/31,"This thing is awesome, & hands down the most superior jump box I've ever used. Its so much better than the one I was replacing it with that it's not even a close comparison as they are just on two completely different levels. The funny thing though is that I paid about $30 more for my older one. My older one was only 5,000 Milliamps but it would take like 9 hour's to charge, this one charges at such an incredible speed that it almost seems impossible. It's equivalent to watching a video load on dial up internet. Sure that's extremely slow in the case of loading media, but for charging something that's a remarkable speed, in fact the first time I ever charged it, I plugged it in, & when I came back to check to make sure that it was all hooked up sufficiently it already read fully charged. I was dumfounded & in disbelief. The ONLY, & I mean ONLY critique I have surrounding this item is that if your battery is completely dead you will need a charge greater than 25% to jump it, which doesn't make much sense to me cause for example if you were to jump your battery when this thing has a 100% charge it only brings your charge down to 94% after jumping a completely dead battery, & therefore only uses 6% of juice to execute this function, so why would you need such a high minimum charge? That's my only complaint & that's ONLY because I am of the generation that NEEDS something to complain about & that's all I was able to come up with, so.... Additionally I would recommend buying a bag or case in conjunction with this item as the contents in the box are difficult to organize perfectly so that the box closes the way that it arrived."
1,DID NOT WORK AND THEIR CUSTOMER SERVICE WAS USELESS! DID NOT RESPOND.,2021/10/6,"GOT THIS, CHARGED IT AND ATTEMPTED TO USE IT. ALL I GOT WAS AN ERROR MESSAGE. I WROTE THE SELLER AND WAS DISAPPOINTED TO GET NO RESPONSE. I AM STUCK WITH THIS USELESS ITEM BECAUSE I CANNOT RETURN FROM THE CARRIBBEAN. WASTE OF MONEY!"
4,Wall charger failed on first use. Replaced fast!,2020/12/22,"Arrived with 67% charge.  Wall charger popped and failed first time ever being plugged in.  Returning whole item.Replacement shipped fast.  Works perfectly.  Can't blame the actual unit, the wall charger is what failed. Finally happy!"
5,There is a cheaper case alternative for the Hulkman,2021/10/19,"I haven't had a chance to actually use the Hulkman yet (perhaps a good thing!) so I thought I'd mention my experience with buying a case to keep it in.

I didn't want to spend a ton of money on a case for my new Hulkman Alpha85, and I took a chance on this one from Caseling: https://www.amazon.com/dp/B071VM23HQ (I was worried it would be too small, but this turned out not to be true). For only $14.99, it will do the job and more.

If you go to that page, I left a review with photos of my Hulkman inside that case. There is room for even more than just the jump starter, I put a flashlight and a small wrench and screwdriver as well, with room to spare. The case is smaller and more compact than the OEM case and will take up less room in your car. In my instance, there was very little room under the passenger seat, but this case fit fine. The OEM case, which is much thicker (higher) would not have fit. I hope this helps some out there that don't want to pay an arm and a leg for the OEM case, or the oversized and overpriced (IMO) Aenliosi case (they keep raising and raising the price of the Aenliosi every week, taking advantage of the high price of the OEM case, as of today it's $24 - it was $17 not long ago). You can save a few bucks and just get this one instead. Hope that helps someone on the fence about what case to buy."
5,AMAZINGLY POWERFUL,2021/6/7," I saw this device in a video on YouTube. It was just sitting in the background, being used to charge a cell phone. I liked the look of it, and wondered what it was. I did some research and found that it's primary function is for jump-starting a vehicle which has a battery with low voltage.
Watch the video to see how it performs."
1,Lasted 4 months and died.,2021/8/16,This was working just fine the first 5 or six times I used it. Jumped a car at 89% charged. Started right up. Only dropped 2%. The neighbor had a car that was completely dead. Tried to jump it and nothing happened. Unit dropped to zero and now won't charge. Had real high hopes for this unit.
5,Awesome jumpstarter with quick charge feature at a really good price,2020/12/22,"First, let me start off by saying I really enjoy using this jump starter. From the moment I unboxed it, I knew this was a high quality product. The feel and weight give the impression of something that will last a long time. I was very impressed when I hooked the fast charger up to it and found how quickly this jump starter was taking a charge. Within an hour, it went from 30 percent to fully charged. And when I first used it on a vehicle with a dead battery, it had that engine turned over and running in a matter of seconds.

I'm a professional Automotive Technician, and I've owned and used several battery jump packs that fail after a couple of months of use, some even sooner. And needless to say, they didn't perform as they claimed they should. But the HULKMAN jump starter has been my go to booster for the past month and its holding up very well. This product exceeded all the expectations I had. I simply can't say enough good things about this jump starter.

In conclusion, if you're in the market for a jump starter. Don't waste your time with the false claims and under performing jump packs from the other guys. Do yourself a favor and get your hands on this one. You'll be glad you bought this the first time you use it."
5,Great Quality Battery Pack With Latest 2021 Features!,2020/12/3,"As shown in photos, the huge white/green LCD display is easy to see, understand, and use.  The powerful AC-USB-C charger really charges fast, or you can use just about any compatible phone/tablet/laptop charger with USB-C.  Output is safety-timed to enable most cars with weak battery to crank over enough to start.  A special mode enables totally dead cars to start, too.  THIS FEATURE is most significant, as many competitive battery packs of lower cost cannot do this difficult task.  I'll report back on long term lithium battery longevity.  Actual Pack capacity is close to 12,000 so the 20,000 reading must be peak output.  I wish it came with a carry case, but most handy bags work.  Edit: PERFECT CASE fits Hulkman and ALL its accessories... Made by ""Caseling"" on Amazon, intended for Noco GB70, p/n X001EV6DL1, SEE ATTACHED PHOTOS OF PERFECT FIT, open and closed up."
1,Just didnt work.,2021/4/22,Pluggede it in and the battery power dropped 3% in short order but the ready light never came on. Car never started. Will be returning.
5,READ THE MANUAL,2021/5/12,"If u see any bad reviews on this it’s most likley due to people who didn’t read the manual, I spent an hour trying to learn how to use it until I just read the manual 😂! GREAT PRODUCT: AWSOME PRICE / HAPPY CUSTOMER NO COMPLAINTS SO FAR... if ur battery if fully drained the READY sign will pop up but when u turn the key a ERROR 2 will pop up and ur car won’t start, all u have to do is press the 2 buttons at the same time for 5 sec and starts the battery and if it dosent just keep doing it, I had to press & hold  the 2 buttons more than 3 times  but after I heard the engine my heart melted as I fell Inlovewill do an update in 6 months !"
1,It’s broken already,2021/4/8,I liked it when it worked that one time
